qual_id,race_id,season,round,driver_id,constructor_id,q1,q2,q3,position
288,16,2014,14,rosberg,mercedes,1:47.244,1:45.825,1:45.688,2
289,16,2014,14,ricciardo,red_bull,1:47.488,1:46.493,1:45.854,3
290,16,2014,14,vettel,red_bull,1:47.476,1:46.586,1:45.902,4
291,16,2014,14,alonso,ferrari,1:46.889,1:46.328,1:45.907,5
292,16,2014,14,massa,williams,1:47.615,1:46.472,1:46.000,6
293,16,2014,14,raikkonen,ferrari,1:46.685,1:46.359,1:46.170,7
294,16,2014,14,bottas,williams,1:47.196,1:46.622,1:46.187,8
295,16,2014,14,kevin_magnussen,mclaren,1:47.976,1:46.700,1:46.250,9
296,16,2014,14,kvyat,toro_rosso,1:47.656,1:46.926,1:47.362,10
297,16,2014,14,button,mclaren,1:47.161,1:46.943,,11
298,16,2014,14,vergne,toro_rosso,1:47.407,1:46.989,,12
299,16,2014,14,hulkenberg,force_india,1:47.370,1:47.308,,13
300,16,2014,14,gutierrez,sauber,1:47.970,1:47.333,,14
301,16,2014,14,perez,force_india,1:48.143,1:47.575,,15
302,16,2014,14,grosjean,lotus_f1,1:47.862,1:47.812,,16
303,16,2014,14,sutil,sauber,1:48.324,,,17
304,16,2014,14,maldonado,lotus_f1,1:49.063,,,18
305,16,2014,14,jules_bianchi,marussia,1:49.440,,,19
306,16,2014,14,kobayashi,caterham,1:50.405,,,20
307,16,2014,14,chilton,marussia,1:50.473,,,21
308,16,2014,14,ericsson,caterham,1:52.287,,,22
309,18,2014,15,rosberg,mercedes,1:33.671,1:32.950,1:32.506,1
310,18,2014,15,hamilton,mercedes,1:33.611,1:32.982,1:32.703,2
311,18,2014,15,bottas,williams,1:34.301,1:33.443,1:33.128,3
312,18,2014,15,massa,williams,1:34.483,1:33.551,1:33.527,4
313,18,2014,15,alonso,ferrari,1:34.497,1:33.675,1:33.740,5
314,18,2014,15,ricciardo,red_bull,1:35.593,1:34.466,1:34.075,6
315,18,2014,15,kevin_magnussen,mclaren,1:34.930,1:34.229,1:34.242,7
316,18,2014,15,button,mclaren,1:35.150,1:34.648,1:34.317,8
317,18,2014,15,vettel,red_bull,1:35.517,1:34.784,1:34.432,9
318,18,2014,15,raikkonen,ferrari,1:34.984,1:34.771,1:34.548,10
319,18,2014,15,vergne,toro_rosso,1:35.155,1:34.984,,11
320,18,2014,15,perez,force_india,1:35.439,1:35.089,,12
321,18,2014,15,kvyat,toro_rosso,1:35.210,1:35.092,,13
322,18,2014,15,hulkenberg,force_india,1:35.000,1:35.099,,14
323,18,2014,15,sutil,sauber,1:35.736,1:35.364,,15
324,18,2014,15,gutierrez,sauber,1:35.308,1:35.681,,16
325,18,2014,15,maldonado,lotus_f1,1:35.917,,,17
326,18,2014,15,grosjean,lotus_f1,1:35.984,,,18
327,18,2014,15,ericsson,caterham,1:36.813,,,19
328,18,2014,15,jules_bianchi,marussia,1:36.943,,,20
329,18,2014,15,kobayashi,caterham,1:37.015,,,21
330,18,2014,15,chilton,marussia,1:37.481,,,22
331,19,2014,16,hamilton,mercedes,1:38.759,1:38.338,1:38.513,1
332,19,2014,16,rosberg,mercedes,1:39.076,1:38.606,1:38.713,2
333,19,2014,16,bottas,williams,1:39.125,1:38.971,1:38.920,3
334,19,2014,16,button,mclaren,1:39.560,1:39.381,1:39.121,4
335,19,2014,16,kvyat,toro_rosso,1:40.074,1:39.296,1:39.277,5
336,19,2014,16,kevin_magnussen,mclaren,1:39.735,1:39.022,1:39.629,6
337,19,2014,16,ricciardo,red_bull,1:40.519,1:39.666,1:39.635,7
338,19,2014,16,alonso,ferrari,1:40.255,1:39.786,1:39.709,8
339,19,2014,16,raikkonen,ferrari,1:40.098,1:39.838,1:39.771,9
340,19,2014,16,vergne,toro_rosso,1:40.354,1:39.929,1:40.020,10
341,19,2014,16,vettel,red_bull,1:40.382,1:40.052,,11
342,19,2014,16,hulkenberg,force_india,1:40.273,1:40.058,,12
343,19,2014,16,perez,force_india,1:40.723,1:40.163,,13
344,19,2014,16,gutierrez,sauber,1:41.159,1:40.536,,14
345,19,2014,16,sutil,sauber,1:40.766,1:40.984,,15
346,19,2014,16,grosjean,lotus_f1,1:42.526,1:41.397,,16
347,19,2014,16,ericsson,caterham,1:42.648,,,17
348,19,2014,16,massa,williams,1:43.064,,,18
349,19,2014,16,kobayashi,caterham,1:43.166,,,19
350,19,2014,16,maldonado,lotus_f1,1:43.205,,,20
351,19,2014,16,chilton,marussia,1:43.649,,,21
352,20,2014,17,rosberg,mercedes,1:38.303,1:36.290,1:36.067,1
353,20,2014,17,hamilton,mercedes,1:37.196,1:37.287,1:36.443,2
354,20,2014,17,bottas,williams,1:38.249,1:37.499,1:36.906,3
355,20,2014,17,massa,williams,1:37.877,1:37.347,1:37.205,4
356,20,2014,17,ricciardo,red_bull,1:38.814,1:37.873,1:37.244,5
357,20,2014,17,alonso,ferrari,1:38.349,1:38.010,1:37.610,6
358,20,2014,17,button,mclaren,1:38.574,1:38.024,1:37.655,7
359,20,2014,17,kevin_magnussen,mclaren,1:38.557,1:38.047,1:37.706,8
360,20,2014,17,raikkonen,ferrari,1:38.669,1:38.263,1:37.804,9
361,20,2014,17,sutil,sauber,1:38.855,1:38.378,1:38.810,10
362,20,2014,17,maldonado,lotus_f1,1:38.608,1:38.467,,11
363,20,2014,17,perez,force_india,1:39.200,1:38.554,,12
364,20,2014,17,hulkenberg,force_india,1:38.931,1:38.598,,13
365,20,2014,17,kvyat,toro_rosso,1:38.936,1:38.699,,14
366,20,2014,17,vergne,toro_rosso,1:39.250,,,15
367,20,2014,17,gutierrez,sauber,1:39.555,,,16
368,20,2014,17,vettel,red_bull,1:39.621,,,17
369,20,2014,17,grosjean,lotus_f1,1:39.679,,,18
370,21,2014,18,rosberg,mercedes,1:10.347,1:10.303,1:10.023,1
371,21,2014,18,hamilton,mercedes,1:10.457,1:10.712,1:10.056,2
372,21,2014,18,massa,williams,1:10.602,1:10.343,1:10.247,3
373,21,2014,18,bottas,williams,1:10.832,1:10.421,1:10.305,4
374,21,2014,18,button,mclaren,1:11.097,1:11.127,1:10.930,5
375,21,2014,18,vettel,red_bull,1:11.880,1:11.129,1:10.938,6
376,21,2014,18,kevin_magnussen,mclaren,1:11.134,1:11.211,1:10.969,7
377,21,2014,18,alonso,ferrari,1:11.558,1:11.215,1:10.977,8
378,21,2014,18,ricciardo,red_bull,1:11.593,1:11.208,1:11.075,9
379,21,2014,18,raikkonen,ferrari,1:11.193,1:11.188,1:11.099,10
380,21,2014,18,gutierrez,sauber,1:11.520,1:11.591,,11
381,21,2014,18,hulkenberg,force_india,1:11.848,1:11.976,,12
382,21,2014,18,sutil,sauber,1:11.943,1:12.099,,13
383,21,2014,18,kvyat,toro_rosso,1:11.423,,,14
384,21,2014,18,grosjean,lotus_f1,1:12.037,,,15
385,21,2014,18,vergne,toro_rosso,1:12.040,,,16
